driverId,lap,stop,time,duration
gasly,9,1,18:18:56,25.885
norris,10,1,18:20:31,32.766
tsunoda,10,1,18:20:34,25.267
bottas,11,1,18:22:06,25.399
albon,11,1,18:22:12,25.054
hulkenberg,11,1,18:22:21,26.075
de_vries,11,1,18:22:21,25.018
hamilton,12,1,18:23:40,24.682
ocon,12,1,18:23:50,24.966
sargeant,12,1,18:23:55,25.600
zhou,12,1,18:24:01,25.787
leclerc,13,1,18:25:06,24.345
sainz,13,1,18:25:17,24.500
russell,13,1,18:25:24,27.062
max_verstappen,14,1,18:26:35,24.289
alonso,14,1,18:27:02,25.800
stroll,15,1,18:28:45,25.449
kevin_magnussen,15,1,18:29:10,25.439
ocon,15,2,18:29:11,41.462
perez,17,1,18:31:42,24.264
norris,17,2,18:32:38,33.661
gasly,25,2,18:45:48,24.879
albon,26,2,18:47:25,24.920
tsunoda,26,2,18:47:26,24.372
hulkenberg,26,2,18:47:41,37.769
de_vries,27,2,18:49:16,25.234
norris,27,3,18:49:35,33.467
bottas,29,2,18:52:16,25.643
kevin_magnussen,29,2,18:52:40,25.344
hamilton,30,2,18:53:36,24.690
stroll,30,2,18:53:45,24.639
sargeant,30,2,18:54:09,25.670
sainz,31,2,18:55:11,24.227
russell,31,2,18:55:21,24.406
zhou,32,2,18:57:31,25.282
ocon,32,3,18:58:03,44.518
leclerc,33,2,18:58:16,24.644
perez,34,2,18:59:45,25.091
alonso,34,2,19:00:09,24.869
max_verstappen,36,2,19:02:47,24.910
norris,37,4,19:06:27,33.236
albon,40,3,19:10:51,24.458
gasly,40,3,19:10:52,24.736
tsunoda,40,3,19:10:53,25.818
sargeant,40,3,19:11:05,25.047
kevin_magnussen,40,3,19:11:20,25.125
hulkenberg,40,3,19:11:26,27.080
norris,47,5,19:23:45,30.710
zhou,54,3,19:34:31,30.167
norris,54,6,19:35:35,31.494
